"DOTA_Tooltip_ability_item_fazhang_1"							"魔力法杖"
"DOTA_Tooltip_ability_item_jia_4_Description"					"<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n高强度的战斗装甲，能保护穿戴着不受大部分伤害"
"DOTA_Tooltip_ability_item_jia_4_Lore"							"足够强壮的人才能穿戴这件装甲，穿上就是一个移动堡垒"
"DOTA_Tooltip_ability_item_jia_4_Note0"							"只能格挡物理伤害"
"DOTA_Tooltip_ability_item_jia_4_Note1"							"护甲只能装备一件"
"DOTA_Tooltip_ability_item_jia_4_auto_physical_armor"			"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_jia_4_auto_health"					"+$auto_health"
"DOTA_Tooltip_ability_item_jia_5"								"雅典娜战甲"
"DOTA_Tooltip_ability_item_jia_5_Description"					"<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n雅典娜的黄金战甲"
"DOTA_Tooltip_ability_item_jia_5_Lore"							"即使的仿制的也不是普通的凡器能比的。"
"DOTA_Tooltip_ability_item_jia_5_Note0"							"只能格挡物理伤害"
"DOTA_Tooltip_ability_item_jia_5_Note1"							"护甲只能装备一件"
"DOTA_Tooltip_ability_item_jia_5_auto_physical_armor"			"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_jia_5_auto_health"					"+$auto_health"

"DOTA_Tooltip_ability_item_xie_1"								"草鞋"
"DOTA_Tooltip_ability_item_xie_1_Description"					"简陋的布料编制的鞋子"
"DOTA_Tooltip_ability_item_xie_1_Lore"							"至少我有鞋穿了，可是跟草有什么关系？"
"DOTA_Tooltip_ability_item_xie_1_Note0"							"鞋类只能装备一件"
"DOTA_Tooltip_ability_item_xie_1_auto_mana"						"+$auto_mana"
"DOTA_Tooltip_ability_item_xie_1_auto_movespeed"				"+$auto_movespeed"
"DOTA_Tooltip_ability_item_xie_1_auto_magical_resistance"		"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_xie_2"								"布鞋"
"DOTA_Tooltip_ability_item_xie_2_Description"					"高级布料编制的鞋子，更加的的轻便柔软"
"DOTA_Tooltip_ability_item_xie_2_Lore"							"布制的比草制的更不磨脚。"
"DOTA_Tooltip_ability_item_xie_2_Note0"							"鞋类只能装备一件"
"DOTA_Tooltip_ability_item_xie_2_auto_mana"						"+$auto_mana"
"DOTA_Tooltip_ability_item_xie_2_auto_movespeed"				"+$auto_movespeed"
"DOTA_Tooltip_ability_item_xie_2_auto_magical_resistance"		"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_xie_3"								"疾风履"
"DOTA_Tooltip_ability_item_xie_3_Description"					"附加风之魔法的鞋子，大大提升了移动速度"
"DOTA_Tooltip_ability_item_xie_3_Lore"							"穿上它就像起飞了一般。"
"DOTA_Tooltip_ability_item_xie_3_Note0"							"鞋类只能装备一件"
"DOTA_Tooltip_ability_item_xie_3_auto_mana"						"+$auto_mana"
"DOTA_Tooltip_ability_item_xie_3_auto_movespeed"				"+$auto_movespeed"
"DOTA_Tooltip_ability_item_xie_3_auto_magical_resistance"		"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_xie_4"								"飞鞋"
"DOTA_Tooltip_ability_item_xie_4_Description"					"带上了翅膀的鞋子，穿上它就如同飞一般"
"DOTA_Tooltip_ability_item_xie_4_Lore"							"起飞了。"
"DOTA_Tooltip_ability_item_xie_4_Note0"							"鞋类只能装备一件"
"DOTA_Tooltip_ability_item_xie_4_auto_mana"						"+$auto_mana"
"DOTA_Tooltip_ability_item_xie_4_auto_movespeed"				"+$auto_movespeed"
"DOTA_Tooltip_ability_item_xie_4_auto_magical_resistance"		"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_xie_5"								"赫尔墨斯飞鞋"
"DOTA_Tooltip_ability_item_xie_5_Description"					"赫尔墨斯穿过的鞋子，不知什么时候丢了一只"
"DOTA_Tooltip_ability_item_xie_5_Lore"							"虽然只有一只，但也足够你跑的飞起了。"
"DOTA_Tooltip_ability_item_xie_5_Note0"							"鞋类只能装备一件"
"DOTA_Tooltip_ability_item_xie_5_auto_mana"						"+$auto_mana"
"DOTA_Tooltip_ability_item_xie_5_auto_movespeed"				"+$auto_movespeed"
"DOTA_Tooltip_ability_item_xie_5_auto_magical_resistance"		"+$auto_magical_resistance"

"DOTA_Tooltip_ability_item_recipe_fazhang_2"					"空明杖合成卷轴"
"DOTA_Tooltip_ability_item_recipe_fazhang_3"					"原力法杖合成卷轴"
"DOTA_Tooltip_ability_item_recipe_fazhang_4"					"阿托斯之杖合成卷轴"
"DOTA_Tooltip_ability_item_recipe_fazhang_5"					"狄安娜月亮神杖合成卷轴"
"DOTA_Tooltip_ability_item_recipe_fazhang_6"					"神杖合成卷轴"
"DOTA_Tooltip_ability_item_recipe_fazhang_7"					"神杖★合成卷轴"
"DOTA_Tooltip_ability_item_recipe_fazhang_8"					"神杖★★合成卷轴"
"DOTA_Tooltip_ability_item_recipe_fazhang_9"					"神杖★★★合成卷轴"
"DOTA_Tooltip_ability_item_recipe_gong_2"						"鹰角弓合成卷轴"
"DOTA_Tooltip_ability_item_recipe_gong_3"						"夜鹰弓合成卷轴"
"DOTA_Tooltip_ability_item_recipe_gong_4"						"古龙之弓合成卷轴"
"DOTA_Tooltip_ability_item_recipe_gong_5"						"代达罗斯风暴弓合成卷轴"
"DOTA_Tooltip_ability_item_recipe_gong_6"						"万象合成卷轴"
"DOTA_Tooltip_ability_item_recipe_gong_7"						"万象★合成卷轴"
"DOTA_Tooltip_ability_item_recipe_gong_8"						"万象★★合成卷轴"
"DOTA_Tooltip_ability_item_recipe_gong_9"						"万象★★★合成卷轴"
"DOTA_Tooltip_ability_item_recipe_jia_2"						"刃甲合成卷轴"
"DOTA_Tooltip_ability_item_recipe_jia_3"						"板甲合成卷轴"
"DOTA_Tooltip_ability_item_recipe_jia_4"						"强袭装甲合成卷轴"
"DOTA_Tooltip_ability_item_recipe_jia_5"						"雅典娜战甲合成卷轴"
"DOTA_Tooltip_ability_item_recipe_jian_2"						"大剑合成卷轴"
"DOTA_Tooltip_ability_item_recipe_jian_3"						"夜叉合成卷轴"
"DOTA_Tooltip_ability_item_recipe_jian_4"						"散华合成卷轴"
"DOTA_Tooltip_ability_item_recipe_jian_5"						"阿瑞斯之剑合成卷轴"
"DOTA_Tooltip_ability_item_recipe_jian_6"						"圣剑合成卷轴"
"DOTA_Tooltip_ability_item_recipe_jian_7"						"圣剑★合成卷轴"
"DOTA_Tooltip_ability_item_recipe_jian_8"						"圣剑★★合成卷轴"
"DOTA_Tooltip_ability_item_recipe_jian_9"						"圣剑★★★合成卷轴"
"DOTA_Tooltip_ability_item_recipe_xie_2"						"布鞋合成卷轴"
"DOTA_Tooltip_ability_item_recipe_xie_3"						"疾风履合成卷轴"
"DOTA_Tooltip_ability_item_recipe_xie_4"						"飞鞋合成卷轴"
"DOTA_Tooltip_ability_item_recipe_xie_5"						"赫尔墨斯飞鞋合成卷轴"
