主键,名字,基类,模型,模型尺寸,登记,血条偏移,奖励经验,最小奖励金钱,最大奖励金钱,碰撞大小,移动类型,移动速度,转身速率,基础生命,基础生命回复,基础魔法,基础魔法回复,攻击能力,最小攻击力,最大攻击力,攻击间隔,攻击抬手,警戒距离,攻击距离,投射物特效,投射物速率,基础护甲,基础魔抗,攻击类型,防御类型,小地图图标,小地图图标尺寸,作为英雄生命条,作为远古,单位标签,技能1,技能2,技能3,技能4,技能5,技能6,技能7,技能8,技能9,技能10,技能11,技能12,技能13,技能14,技能15,技能16
troll_warrior,,npc_dota_creature,models/creeps/neutral_creeps/n_creep_forest_trolls/n_creep_forest_troll_berserker.vmdl,1.4,1,,1000,100,100,DOTA_HULL_SIZE_HERO,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,60000,50,1000,2,DOTA_UNIT_CAP_MELEE_ATTACK,900,1000,1.6,0.4,,125,,,10,10,,,,,,,,troll_block,troll_knockback,,,,,,,,,,,,,,
troll_archer,,npc_dota_creature,models/heroes/troll_warlord/troll_warlord.vmdl,1.1,1,,1000,100,100,DOTA_HULL_SIZE_HERO,DOTA_UNIT_CAP_MOVE_GROUND,522,0.5,30000,20,1000,2,DOTA_UNIT_CAP_RANGED_ATTACK,800,800,1.2,0.2,,1200,particles/units/heroes/hero_troll_warlord/troll_warlord_base_attack.vpcf,1200,5,15,,,,,,,,troll_concentrate,,,,,,,,,,,,,,,
troll_shaman,,npc_dota_creature,models/creeps/neutral_creeps/n_creep_forest_trolls/n_creep_forest_troll_high_priest.vmdl,1.1,1,,1000,100,100,DOTA_HULL_SIZE_HERO,DOTA_UNIT_CAP_MOVE_GROUND,300,0.5,80000,400,10000,40,DOTA_UNIT_CAP_RANGED_ATTACK,200,200,1.2,0.2,,500,particles/units/heroes/hero_dazzle/dazzle_base_attack.vpcf,1200,8,38,,,,,,,,troll_heal,,,,,,,,,,,,,,,
troll_mage,,npc_dota_creature,models/creeps/neutral_creeps/n_creep_forest_trolls/n_creep_forest_troll_high_priest.vmdl,1.1,1,,1000,100,100,DOTA_HULL_SIZE_HERO,DOTA_UNIT_CAP_MOVE_GROUND,300,0.5,20000,10,10000,10,DOTA_UNIT_CAP_RANGED_ATTACK,400,400,1.2,0.2,,600,particles/units/heroes/hero_shadowshaman/shadow_shaman_ward_base_attack.vpcf,1200,3,38,,,,,,,,troll_blink,troll_fireball,,,,,,,,,,,,,,
alien_worm,,npc_dota_creature,models/items/courier/weta_automaton/weta_automaton.vmdl,1,1,,1000,100,100,DOTA_HULL_SIZE_SMALL,DOTA_UNIT_CAP_MOVE_GROUND,522,1,240000,0,1000,0,DOTA_UNIT_CAP_MELEE_ATTACK,7000,7000,1.6,0.4,,125,,,24,24,,,,,,,,alien_parasitism,,,,,,,,,,,,,,,
alien_worm_boss,,npc_dota_creature,models/items/courier/weta_automaton/weta_automaton_flying.vmdl,2,1,,1000,100,100,DOTA_HULL_SIZE_HERO,DOTA_UNIT_CAP_MOVE_FLY,522,0.5,480000,50,1000,2,DOTA_UNIT_CAP_MELEE_ATTACK,14000,14000,1.6,0.4,,125,,,48,24,,,,,,,,alien_parasitism_attack,,,,,,,,,,,,,,,
alien_enigma_small,,npc_dota_creature,models/heroes/enigma/eidelon.vmdl,1.2,1,,1000,100,100,DOTA_HULL_SIZE_SMALL,DOTA_UNIT_CAP_MOVE_GROUND,300,0.5,240000,50,1000,2,DOTA_UNIT_CAP_RANGED_ATTACK,4000,4000,1.6,0.4,,600,particles/econ/items/enigma/enigma_geodesic/enigma_base_attack_eidolon_geodesic.vpcf,,20,20,,,,,,,,alien_line,alien_split,,,,,,,,,,,,,,
alien_enigma_split,,npc_dota_creature,models/heroes/enigma/eidelon.vmdl,0.8,1,,1000,100,100,DOTA_HULL_SIZE_SMALL,DOTA_UNIT_CAP_MOVE_GROUND,300,0.5,120000,50,1000,2,DOTA_UNIT_CAP_RANGED_ATTACK,2000,2000,1.6,0.4,,400,particles/econ/items/enigma/enigma_geodesic/enigma_base_attack_eidolon_geodesic.vpcf,,15,15,,,,,,,,alien_line,alien_growth,,,,,,,,,,,,,,
alien_enigma,,npc_dota_creature,models/heroes/enigma/enigma.vmdl,1.3,1,,1000,100,100,DOTA_HULL_SIZE_SMALL,DOTA_UNIT_CAP_MOVE_GROUND,200,0.5,360000,50,1000,2,DOTA_UNIT_CAP_RANGED_ATTACK,8000,8000,1.6,0.4,,600,particles/econ/items/enigma/enigma_geodesic/enigma_base_attack_eidolon_geodesic.vpcf,,25,25,,,,,,,,alien_line,alien_split,alien_obsidian_star,alien_blackhole,,,,,,,,,,,,
solar_eye,,npc_dota_creature,models/items/enigma/eidolon/geodesic/geodesic.vmdl,1.3,1,,1000,100,100,DOTA_HULL_SIZE_SMALL,DOTA_UNIT_CAP_MOVE_FLY,200,0.5,500000,50,1000,2,DOTA_UNIT_CAP_MELEE_ATTACK,10000,10000,1.6,0.4,,600,particles/econ/items/enigma/enigma_geodesic/enigma_base_attack_eidolon_geodesic.vpcf,,40,20,,,,,,,,solar_magic_fire,,,,,,,,,,,,,,,
solar_eye_boss,,npc_dota_creature,models/items/enigma/eidolon/geodesic/geodesic.vmdl,3.6,1,,1000,100,100,DOTA_HULL_SIZE_SMALL,DOTA_UNIT_CAP_MOVE_FLY,200,0.5,10000000,50,1000,2,DOTA_UNIT_CAP_MELEE_ATTACK,20000,20000,1.6,0.4,,600,particles/econ/items/enigma/enigma_geodesic/enigma_base_attack_eidolon_geodesic.vpcf,,80,30,,,,,,,,solar_magic_fire,solar_noice_wave,,,,,,,,,,,,,,
solar_bat,,npc_dota_creature,models/heroes/nightstalker/nightstalker.vmdl,1.4,1,,1000,100,100,DOTA_HULL_SIZE_HERO,DOTA_UNIT_CAP_MOVE_GROUND,522,0.5,600000,50,1000,2,DOTA_UNIT_CAP_MELEE_ATTACK,13000,13000,1.2,0.4,,125,,,70,30,,,,,,,,solar_lifesteal,solar_scare,,,,,,,,,,,,,,
solar_bone,,npc_dota_creature,models/heroes/clinkz/clinkz.vmdl,1.4,1,,1000,100,100,DOTA_HULL_SIZE_HERO,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,300000,50,1000,2,DOTA_UNIT_CAP_RANGED_ATTACK,400,400,1.6,0.4,,800,particles/econ/items/clinkz/clinkz_maraxiform/clinkz_maraxiform_searing_arrow.vpcf,900,10,10,,,,,,,,troll_block,troll_knockback,,,,,,,,,,,,,,
solar_ghost,,npc_dota_creature,models/heroes/spectre/spectre.vmdl,1,1,,1000,100,100,DOTA_HULL_SIZE_HERO,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,600000,50,1000,2,DOTA_UNIT_CAP_NO_ATTACK,4000,4000,1.6,0.4,,125,,,50,38,,,,,,,,solar_ghost,,,,,,,,,,,,,,,
solar_king,,npc_dota_creature,models/heroes/abaddon/abaddon.vmdl,1.4,1,,1000,100,100,DOTA_HULL_SIZE_HERO,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,2000000,50,1000,2,DOTA_UNIT_CAP_MELEE_ATTACK,20000,20000,1.6,0.4,,125,,,100,38,,,,,,,,solar_barren_aura,solar_ice_blade,,,,,,,,,,,,,,
solar_demon,,npc_dota_creature,models/heroes/shadow_demon/shadow_demon.vmdl,1.4,1,,1000,100,100,DOTA_HULL_SIZE_HERO,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,400000,50,1000,2,DOTA_UNIT_CAP_RANGED_ATTACK,10000,10000,1.6,0.4,,450,particles/units/heroes/hero_shadow_demon/shadow_demon_base_attack.vpcf,900,50,38,,,,,,,,solar_lock,,,,,,,,,,,,,,,
solar_fire,,npc_dota_creature,models/heroes/invoker/forge_spirit.vmdl,1.4,1,,1000,100,100,DOTA_HULL_SIZE_HERO,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,300000,500,1000,2,DOTA_UNIT_CAP_RANGED_ATTACK,8000,8000,1.6,0.4,,600,particles/units/heroes/hero_invoker/invoker_forged_spirit_projectile.vpcf,900,30,15,,,,,,,,solar_fire,,,,,,,,,,,,,,,
trial_creep,,npc_dota_creature,models/creeps/lane_creeps/creep_radiant_melee/radiant_melee_mega.vmdl,2,1,,,,,,DOTA_UNIT_CAP_MOVE_GROUND,380,,9400,,0,,DOTA_UNIT_CAP_MELEE_ATTACK,660,660,1.3,,,175,,,70,38,,,,,,,,trial,bash,shield_block,mana_break,,,,,,,,,,,,
