"lang"
{
	"Language"		"English"
		
		"DOTA_Tooltip_modifier_oracle_3"									"命运敕令"
		"DOTA_Tooltip_modifier_oracle_3_Description"						"该单位提升了移速并免疫所有伤害"
		"DOTA_Tooltip_modifier_oracle_3_root"								"命运敕令缠绕"
		"DOTA_Tooltip_modifier_oracle_3_root_Description"					"该单位无法移动"
		
		"DOTA_Tooltip_ability_item_npc_dota_hero_oracle_Description"		"<h1>Exclusive Equipment</h1>All property, health and mana increase %property%%%\n<h1>First Reincarnation: Death Prediction</h1>Can be released to friendly forces, within the duration of death will be immediately reborn. \n<h1>Second Reincarnation: Fate's Edict</h1> Units that are counterattacked are root in% duration% seconds.\n<h1>Third  Reincarnation: Future Peep</h1>Increase %bonus_intellect% intelligence.\n<h1>Fourth Reincarnation: Purifying Flames</h1>Each %interval% seconds automatically releases Purifying Flames to the surrounding units."
		"DOTA_Tooltip_ability_item_npc_dota_hero_oracle_Lore"				"The astral orb crackles with power while raw energy lances out, temporarily disrupting and enemy's connection to their own body"

		"npc_dota_hero_phantom_assassin"	"Shadowmoon Warden"
		"DOTA_Tooltip_ability_clusters_stars"									"Clusters Stars"
		"DOTA_Tooltip_ability_clusters_stars_Description"						"Making the attack after additional attack once, each combo attack a chance for an additional one times the number of attacks. At the same time, there is a certain chance of critical strikes. Acitive use apply damage and stun.active will regen health when kill target.<br></br>-----------------------------------------------<br></br>Combo rate: 25%%<br></br>Critical rate: 30<br></br>Critical strike factor: 1 + 0.25 * skill level<br></br>Damage: 2 * attack * skill level<br></br>Duration: 2<br></br>-----------------------------------------------"
		"DOTA_Tooltip_ability_clusters_stars_Lore"								"Offensive like endless stars"
		"DOTA_Tooltip_ability_clusters_stars_Note0"								"Additional damage number 5"
		"DOTA_Tooltip_ability_clusters_stars_Note1"								"命中目标后才会计算几率"
		"DOTA_Tooltip_modifier_clusters_stars"									"Clusters Stars"
		"DOTA_Tooltip_modifier_clusters_stars_Description"						"Making the attack additional attack once, each attack has a 25%% chance to increase the number of additional attacks. At the same time, there is a chance of a 30%%"
		"DOTA_Tooltip_ability_moonlight_projection"								"Moonlight Projection"
		"DOTA_Tooltip_ability_moonlight_projection_Description"					"Flash to the target point, and damage to the unit.<br></br>-----------------------------------------------<br></br>Attack damage coefficient:1 + 0.25 * skill level<br></br>Maximum distance:550 + 50&nbsp;* skill level<br></br>Radius:200<br></br>-----------------------------------------------"
		"DOTA_Tooltip_ability_moonlight_projection_Lore"						"开启银月之门"
		"DOTA_Tooltip_ability_shadowmoon_wheeldance"							"Shadow Moon Wheel Dance"
		"DOTA_Tooltip_ability_shadowmoon_wheeldance_Description"				"Fast rotation around a week to cut the surrounding units apply short stun and reduce the 100%% attack / move speed, reduce 10%% cooldown per kill<br></br>-----------------------------------------------<br></br>Attack power damage coefficient:1.25 + 0.25&nbsp;* skill level<br></br>Radius:300<br></br>Duration:3<br></br>-----------------------------------------------"
		"DOTA_Tooltip_ability_shadowmoon_wheeldance_Lore"						"As a flurry of harvest"
		"DOTA_Tooltip_modifier_shadowmoon_wheeldance"							"Shadow Moon Wheel Dance"
		"DOTA_Tooltip_modifier_shadowmoon_wheeldance_Description"				"The unit has been slowed down."
		"DOTA_Tooltip_ability_shadow_rift_garrotte"								"Shadow Rift Garrotte"
		"DOTA_Tooltip_ability_shadow_rift_garrotte_Description"					"Fast shuttle in the battlefield, resulting in devastating damage<br></br>-----------------------------------------------<br></br>Damage coefficient of each shuttle attack:1 + 1&nbsp;* skill level<br></br>Duratiom:3<br></br>Range:900<br></br>-----------------------------------------------"
		"DOTA_Tooltip_ability_abstrusemoon_shadow"								"Abstruse Moon Shadow"
		"DOTA_Tooltip_ability_abstrusemoon_shadow_Description"					"Each attack will enhance 4%% of basic attack power, Reduce the upper limit of the target's agility and turn 50%% into your life"
		"DOTA_Tooltip_ability_abstrusemoon_shadow_Lore"							"Endless months"
		"DOTA_Tooltip_modifier_abstrusemoon_shadow_buff"						"Abstruse Moon Shadow"
		"DOTA_Tooltip_modifier_abstrusemoon_shadow_buff_Description"			"每次攻击后提升攻击力<br></br>攻击提升：<font color='#FFB90F'>技能等级*2</font><br></br>持续时间：<font color='#FFB90F'>10</font>"
		"DOTA_Tooltip_Ability_item_npc_dota_hero_phantom_assassin"				"Artemis's weapon"
		"DOTA_Tooltip_Ability_item_npc_dota_hero_phantom_assassin_Description"	"<h1>Exclusive Equipment</h1> All property, health and mana increase %property%%%\n<h1>First Reincarnation</h1>Talent`s percentage of lifesteal to 100%%\n<h1>Second Reincarnation</h1>Talent reduction effect is promoted to agi * 2\n<h1>Third  Reincarnation</h1>Crash will cause short time dizziness and double damage to the target\n<h1>Fourth Reincarnation</h1>Release Shadow Rift Garrotte while refreshing Shadow Moon Wheel Dance and reduce base cooldown to 0.5\nAs a legacy of the ancient blood moon explosion, this weapon has been baptized by two moon marks."
		"DOTA_Tooltip_Ability_item_npc_dota_hero_phantom_assassin_Lore"			"a perfect weapon"

		"npc_dota_hero_rubick"											"Chronos Magician"
		"DOTA_Tooltip_ability_rubick_0"									"空间裂缝"
		"DOTA_Tooltip_ability_rubick_0_Description"						"每次施法都会引起周围空间的波动，根据法术的强度在周围形成一个具有致命伤害的空间裂缝，如果目标处于裂缝中心还会额外损失%center_damage%%%的最大生命。"
		"DOTA_Tooltip_ability_rubick_0_rubick_02"						"每次攻击施放一道强大的奥术能量流，在多个敌方单位之间流动。最多弹射%max_count%个单位，造成%damage_factor%倍智力伤害。"
		"DOTA_Tooltip_ability_rubick_0_rubick_03"						"每次攻击施放一道强大的奥术能量流，在多个敌方单位之间流动。最多弹射%max_count%个单位，造成%damage_factor%倍智力伤害。"
		"DOTA_Tooltip_ability_rubick_0_Lore"							"强如空间魔术师也无法完全掌控它"
		"DOTA_Tooltip_ability_rubick_0_damage"							"Int Damage Factor: "
		"DOTA_Tooltip_ability_rubick_0_radius"							"Radius: "
		"DOTA_Tooltip_ability_rubick_0_center_radius"					"中心范围："
		"DOTA_Tooltip_ability_rubick_0_scepter_description_1"			"每次攻击都会在目标周围生成空间裂缝"
		
		"DOTA_Tooltip_ability_rubick_1"									"空间魔法"
		"DOTA_Tooltip_ability_rubick_1_Description"						"使用空间魔法戏耍敌人，吸引周围的单位并将他们传送至目标点，吸引和传送后都会造成伤害，每多一个单位都会加深%pull_bonus%%%的伤害。"
		"DOTA_Tooltip_ability_rubick_1_rubick_02"						"传送后对目标点范围内的单位造成%stun_duration%秒晕眩。"
		"DOTA_Tooltip_ability_rubick_1_rubick_03"						"传送后对目标点范围内的单位造成%stun_duration%秒晕眩。"
		"DOTA_Tooltip_ability_rubick_1_Lore"							"只有最强大的空间法师才能随意使用这个技能"
		"DOTA_Tooltip_ability_rubick_1_Note0"							"对原本处在目标点范围内的单位也会造成传送伤害"
		"DOTA_Tooltip_ability_rubick_1_Note1"							"传送伤害加成为吸引单位与目标点存在单位总和"
		"DOTA_Tooltip_ability_rubick_1_base_damage"						"Base Damage: "
		"DOTA_Tooltip_ability_rubick_1_pull_damage"						"吸引智力伤害系数："
		"DOTA_Tooltip_ability_rubick_1_open_damage"						"传送智力伤害系数："
		"DOTA_Tooltip_ability_rubick_1_radius"							"Radius: "
		
		"DOTA_Tooltip_ability_rubick_2"									"传送法阵"
		"DOTA_Tooltip_ability_rubick_2_Description"						"快速画出两个法阵将两地连结在一起，在一定延迟后传送至目标点，传送会在目标点和原地同时造成伤害。法阵同时会生成一个魔法护盾保护自身不受到伤害，刷新护盾持续时间会叠加护盾生命值。"
		"DOTA_Tooltip_ability_rubick_2_rubick_02"						"护盾存在期间增加%cooldown_reduction%%%冷却缩减。"
		"DOTA_Tooltip_ability_rubick_2_rubick_03"						"护盾存在期间增加%cooldown_reduction%%%冷却缩减。"
		"DOTA_Tooltip_ability_rubick_2_Lore"							"没有空间法师不能去的地方"
		"DOTA_Tooltip_ability_rubick_2_base_damage"						"Base Damage: "
		"DOTA_Tooltip_ability_rubick_2_damage"							"Int Damage Factor: "
		"DOTA_Tooltip_ability_rubick_2_delay"							"传送延迟："
		"DOTA_Tooltip_ability_rubick_2_radius"							"伤害范围："
		"DOTA_Tooltip_ability_rubick_2_shield_factor"					"护盾生命值智力系数："
		"DOTA_Tooltip_ability_rubick_2_shield_duration"					"护盾持续时间："
		"DOTA_Tooltip_ability_rubick_2_scepter_description_2"			"增加%scepter_factor%倍的传送距离与伤害并且传送延迟降低至%scepter_delay%"
		"DOTA_Tooltip_modifier_rubick_2_shield"							"魔法护盾"
		"DOTA_Tooltip_modifier_rubick_2_shield_Description"				"魔法护盾保护空间魔术师暂时不受到任何伤害。"
		
		"DOTA_Tooltip_ability_rubick_3"									"空间牢笼"
		"DOTA_Tooltip_ability_rubick_3_Description"						"在目标点形成一个空间屏障，锁定其中的单位，每隔一段时间对其中的单位造成伤害并逐渐吸入中心。"
		"DOTA_Tooltip_ability_rubick_3_rubick_02"						"在牢笼中时不会受到来自牢笼外的普攻伤害。"
		"DOTA_Tooltip_ability_rubick_3_rubick_03"						"在牢笼中时不会受到来自牢笼外的普攻伤害。"
		"DOTA_Tooltip_ability_rubick_3_Lore"							"没有人能逃脱空间的束缚"
		"DOTA_Tooltip_ability_rubick_3_base_damage"						"Base Damage: "
		"DOTA_Tooltip_ability_rubick_3_damage"							"Int Damage Factor: "
		"DOTA_Tooltip_ability_rubick_3_delay"							"生效延迟："
		"DOTA_Tooltip_ability_rubick_3_radius"							"Radius: "
		"DOTA_Tooltip_ability_rubick_3_duration"						"Duration: "
		"DOTA_Tooltip_ability_rubick_3_interval"						"伤害间隔；"
		"DOTA_Tooltip_ability_rubick_3_scepter_description_3"			"移除施法延迟且伤害间隔降低至%scepter_interval%"
		
		"DOTA_Tooltip_ability_rubick_4"									"世界投影"
		"DOTA_Tooltip_ability_rubick_4_Description"						"将世界投影至目标点，慢慢形成巨大的空间压力，对范围单位造成持续伤害并减少攻击速度与移动速度，每次伤害提升%damage_deepen%%%。"
		"DOTA_Tooltip_ability_rubick_4_rubick_02"						"处于世界投影范围内时伤害增加效果将作用于时空魔术师的所有伤害。"
		"DOTA_Tooltip_ability_rubick_4_rubick_03"						"处于世界投影范围内时伤害增加效果将作用于时空魔术师的所有伤害。"
		"DOTA_Tooltip_ability_rubick_4_Lore"							"空间魔术师掌握足以毁灭世界的力量"
		"DOTA_Tooltip_ability_rubick_4_base_damage"						"Base Damage: "
		"DOTA_Tooltip_ability_rubick_4_damage"							"Int Damage Factor: "
		"DOTA_Tooltip_ability_rubick_4_radius"							"Radius: "
		"DOTA_Tooltip_ability_rubick_4_interval"						"初始伤害间隔："
		"DOTA_Tooltip_ability_rubick_4_count"							"最大伤害次数："
		"DOTA_Tooltip_ability_rubick_4_scepter_description_4"			"最大伤害次数增加至%scepter_count%"
		
		"DOTA_Tooltip_Ability_item_npc_dota_hero_rubick"				"幻境魔方"
		"DOTA_Tooltip_Ability_item_npc_dota_hero_rubick_Description"	"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：能量暴走</h1>每次攻击都会生成空间裂缝\n<h1>二转：强化法阵</h1>传送距离与伤害加倍并移除施法延迟\n<h1>三转：空间结界</h1>移除施法延迟且伤害间隔降低至%scepter_interval%\n<h1>四转：世界投影</h1>最大伤害次数增加至%scepter_count%\n一个包含巨大能量且极其不稳定的魔方，会加剧周围空间的波动"
		"DOTA_Tooltip_Ability_item_npc_dota_hero_rubick_Lore"			"大多数法师认为魔方谜题仅仅是个宝贝"

		"DOTA_Tooltip_ability_spectre_0"	"百鬼夜行"
		"DOTA_Tooltip_ability_spectre_0_Description"	"每次攻击时在周围生成一个鬼影。鬼影最多持续%duration%秒或造成%attack_count%次攻击。鬼影拥有幽鬼%health%%%的血量。鬼影继承幽鬼所有技能的伤害效，但只造成%damage%%%的伤害。最多同时存在%unit_limit%个鬼影。主动使用时可引爆周围所有鬼影。"
		"DOTA_Tooltip_ability_spectre_0_scepter_description_1"	"鬼影造成%scepter_illusion_damage%%%的伤害"
		
		"DOTA_Tooltip_ability_spectre_1"	"暗影之径"
		"DOTA_Tooltip_ability_spectre_1_Description"	"幽鬼向目标点开辟一条暗影之径，被击中的单位会被缠绕，路径上的单位会不断陷入受到减速并持续受到伤害，幽鬼能随时传送至匕首的位置。"
		"DOTA_Tooltip_ability_spectre_1_base_damage"	"Base Damage: "
		"DOTA_Tooltip_ability_spectre_1_damage"			"Str Damage Factor: "
		"DOTA_Tooltip_ability_spectre_1_distance"		"最大距离："
		"DOTA_Tooltip_ability_spectre_1_movespeed"		"%暗影之径减速："
		"DOTA_Tooltip_ability_spectre_1_root_duration"	"缠绕持续时间："
		"DOTA_Tooltip_ability_spectre_1_duration"		"暗影之径持续时间："
		"DOTA_Tooltip_ability_spectre_1_per_damage"		"暗影之径每秒力量伤害系数："
		"DOTA_Tooltip_ability_spectre_1_0"	"传送"
		"DOTA_Tooltip_ability_spectre_1_0_Description"	"传送到暗影匕首的位置"
		"DOTA_Tooltip_modifier_spectre_1_root"	"缠绕"
		"DOTA_Tooltip_modifier_spectre_1_root_Description"	"该单位被缠绕。"
		"DOTA_Tooltip_modifier_spectre_1_debuff"	"暗影之径"
		"DOTA_Tooltip_modifier_spectre_1_debuff_Description"	"该单位被减速。"
		
		"DOTA_Tooltip_ability_spectre_2"	"祸乱之触"
		"DOTA_Tooltip_ability_spectre_2_Description"	"幽鬼的能量极不稳定，每次攻击都会消耗%health_cost%%%的最大生命值，并对目标造成不稳定的魔法伤害，幽鬼每次受到的伤害会增加下次伤害的浮动上限。主动使用时消耗自身当前生命值%active_health_cost%%%的伤害，并对周围的单位造成消耗生命值一定比例的伤害并使其陷入混乱。之后根据伤害量回复一定生命值。"
		"DOTA_Tooltip_ability_spectre_2_scepter_description_2"	"最低浮动系数提升为最高浮动系数的%scepter_min_damage_pct%%%"
		"DOTA_Tooltip_ability_spectre_2_damage"	"最大力量伤害系数："
		"DOTA_Tooltip_ability_spectre_2_damage_limit"	"最大浮动系数："
		"DOTA_Tooltip_ability_spectre_2_damage_add"	"每次伤害增加浮动上限："
		"DOTA_Tooltip_ability_spectre_2_damage_active"	"生命消耗伤害系数："
		"DOTA_Tooltip_ability_spectre_2_shock_duration"	"混乱持续时间："
		"DOTA_Tooltip_ability_spectre_2_radius"	"Radius: "
		"DOTA_Tooltip_ability_spectre_2_heal"	"回复比例："
		"DOTA_Tooltip_ability_spectre_2_Note0"	"消耗生命会触发千炼恶鬼效果"
		"DOTA_Tooltip_ability_spectre_2_Note1"	"消耗生命效果不享受任何伤害加成与伤害减免"
		"DOTA_Tooltip_ability_spectre_2_Note2"	"主动使用会使下次攻击达到浮动上限"
		"DOTA_Tooltip_modifier_spectre_2_debuff"	"混乱"
		"DOTA_Tooltip_modifier_spectre_2_debuff_Description"	"该单位不受控制。"
		
		"DOTA_Tooltip_ability_spectre_3"	"千炼恶鬼"
		"DOTA_Tooltip_ability_spectre_3_Description"	"幽鬼受到伤害时溢散的能量会对周围的单位造成伤害，每受到1%%最大生命值的伤害对周围的单位造成一次伤害，受到伤害越大会略微增加影响范围，最大增加到%max_radius%。生命值越低受到的伤害会相应减少。且每受到100%%最大生命值的伤害，都会提升力量，生命回复与生命值。"
		"DOTA_Tooltip_ability_spectre_3_scepter_description_3"	"每次受到敌人的伤害不会超过生命上限的%scepter_damage_limit%%%"
		"DOTA_Tooltip_ability_spectre_3_damage"	"Str Damage Factor: "
		"DOTA_Tooltip_ability_spectre_3_radius"	"Radius: "
		"DOTA_Tooltip_ability_spectre_3_max_reduce"	"%最大减伤："
		"DOTA_Tooltip_ability_spectre_3_str"	"力量提升："
		"DOTA_Tooltip_ability_spectre_3_regen"	"回复提升："
		"DOTA_Tooltip_ability_spectre_3_health"	"%生命提升："
		"DOTA_Tooltip_ability_spectre_3_health_str"	"生命提升力量系数："
		"DOTA_Tooltip_ability_spectre_3_Note0"	"单次伤害不会低于受到0.1%生命值所造成的伤害"
		"DOTA_Tooltip_ability_spectre_3_Note1"	"最大伤害百分比判定不会超过100%"
		"DOTA_Tooltip_modifier_spectre_3"	"千炼恶鬼"
		"DOTA_Tooltip_modifier_spectre_3_Description"	"增加%dMODIFIER_PROPERTY_EXTRA_HEALTH_BONUS% + %dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%点生命，%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%力量，%dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%生命回复与%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%伤害减免。"
		
		"DOTA_Tooltip_ability_spectre_4"	"鬼神祭典"
		"DOTA_Tooltip_ability_spectre_4_Description"	"幽鬼召唤鬼神祭典封印敌人的灵魂，使目标在%stun_duration%秒内被锁定，锁定时护甲魔抗降低为零并受到额外%damage_deepen%%%的伤害。在造成伤害前封印目标%soul_loss%%%的最大生命上限与输出。封印后召唤死神对目标造成%damage_count%次伤害，在造成伤害时根据目标已损失生命额外附加最多生命上限%max_bonus_damage%%的伤害。封印生命上限效果不能叠加。在祭典范围内的单位将被沉默并受到等量伤害。"
		"DOTA_Tooltip_ability_spectre_4_scepter_description_4"	"成功击杀目标将减少%scepter_cooldown%%%的冷却时间"
		"DOTA_Tooltip_ability_spectre_4_damage"	"Str Damage Factor: "
		"DOTA_Tooltip_ability_spectre_4_stun_duration"	"锁定时间："
		"DOTA_Tooltip_ability_spectre_4_duration"	"封印时间："
		"DOTA_Tooltip_ability_spectre_4_radius"	"祭典范围："
		"DOTA_Tooltip_ability_spectre_4_Note0"	"锁定效果与封印效果无法驱散"
		"DOTA_Tooltip_modifier_spectre_4_debuff_Description"	"该单位被封印，持续时间内减少最大生命上限并减少魔法输出。"
		"DOTA_Tooltip_modifier_spectre_4_debuff"	"封印"
		"DOTA_Tooltip_modifier_spectre_4_lock"	"锁定"
		"DOTA_Tooltip_modifier_spectre_4_lock_Description"	"该单位被锁定，持续时间内减少护甲魔抗受到晕眩并且禁用技能。"
		"DOTA_Tooltip_modifier_spectre_4_silence"	"沉默"
		"DOTA_Tooltip_modifier_spectre_4_silence_Description"	"该单位被沉默。"
		
		"DOTA_Tooltip_ability_item_npc_dota_hero_spectre"	"净魂之刃"
		"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_Description"	"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：百鬼夜行</h1>鬼影造成%scepter_illusion_damage%%%的伤害\n<h1>二转：恶鬼之触</h1>最低浮动系数提升为最高浮动系数的%scepter_min_damage_pct%%%\n<h1>三转：千炼恶鬼</h1>每次受到敌人的伤害不会超过生命上限的%scepter_damage_limit%%%\n<h1>四转：死神祭典</h1>成功击杀目标将减少%scepter_cooldown%%%的冷却时间\n一把能够净化目标的灵魂之刃"
		"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_hp"	"+生命值"
		"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_mp"	"+魔法值"
		"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_hp_regen"	"+生命恢复"
		"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_mp_regen"	"+魔法恢复"
		"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_str"	"+力量"
		"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_agi"	"+敏捷"
		"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_int"	"+智力"
		
		"npc_dota_hero_spectre"													"Mercurial"
		"spectre"	"Spectre"

		"npc_dota_hero_templar_assassin"	"Revelator"
		"DOTA_Tooltip_ability_templar_assassin_0"								"MeiYin"
		"DOTA_Tooltip_ability_templar_assassin_0_Description"					"Generate shields absorb damage. Damage exceeds a certain percentage of maximum health to consume shields. Shield stack up to %max_charges% charge. Removes debuffs When consuming shields.\nDISPEL TYPE: Strong Dispel"
		"DOTA_Tooltip_ability_templar_assassin_0_Note0"							"shields can stack"
		"DOTA_Tooltip_ability_templar_assassin_0_cost_pct_per_stack"			"%Damage Threshold Per Stack:"
		"DOTA_Tooltip_ability_templar_assassin_0_aghanim_description"			"Cause %scepter_damage% agility damage to %scepter_radius% radius enemies when shield broken."
		"DOTA_Tooltip_modifier_templar_assassin_0_shield"						"MeiYin"
		"DOTA_Tooltip_modifier_templar_assassin_0_shield_Description"			"Absorb damage, Do not cost shield when damage less than %dMODIFIER_PROPERTY_TOOLTIP%%% maximum health."
		
		"DOTA_Tooltip_ability_templar_assassin_1"								"SanHua"
		"DOTA_Tooltip_ability_templar_assassin_1_Description"					"Target to launch a strong blow, temporarily break up a certain percentage of the target's soul and cause great harm. Been broken souls will take a percentage of the current life goals, attack speed, movement speed and damage output, as a percentage of the damage will deepen. Been broken soul will slow recovery and return of the property. Meanwhile behind the target sector units will be splash damage. When the target die whih this skill, the percentage damage will be applied to the sputtering unit. It will enhance the sputtering distance and angle of %bonus_pct%%% of the time after use ShenYin."
		"DOTA_Tooltip_ability_templar_assassin_1_Lore"							"Scatter all the flashy"
		"DOTA_Tooltip_ability_templar_assassin_1_Note0"							"This ability comes with an additional damage of a normal attack but will not be counted in the splash effect."
		"DOTA_Tooltip_ability_templar_assassin_1_base_damage"					"Base Damage Per Level:"
		"DOTA_Tooltip_ability_templar_assassin_1_damage"						"Agility Factor Per Level:"
		"DOTA_Tooltip_ability_templar_assassin_1_health_pct"					"%Health Damage Percent:"
		"DOTA_Tooltip_ability_templar_assassin_1_angle"							"Angle:"
		"DOTA_Tooltip_ability_templar_assassin_1_distance"						"Distance:"
		"DOTA_Tooltip_ability_templar_assassin_1_duration"						"Duration:"
		"DOTA_Tooltip_modifier_templar_assassin_1_debuff"						"SanHua"
		"DOTA_Tooltip_modifier_templar_assassin_1_debuff_Description"			"Slow recovery of attributes"
		
		"DOTA_Tooltip_ability_templar_assassin_2"								"ShenYin"
		"DOTA_Tooltip_ability_templar_assassin_2_Description"					"When casting a point, it will quickly move to the target position, and when casting a spell on the target, it will pull the target in front of itself, causing damage to the colliding unit. The movement speed will be increased after casting the spell. When casting a spell on an enemy in a scattered soul state, it immediately restores the target's dispersed soul, but causes an equal amount of dizziness depending on the remaining duration of the state."
		"DOTA_Tooltip_ability_templar_assassin_2_Lore"							"This mysterious power can easily tease the enemy."
		"DOTA_Tooltip_ability_templar_assassin_2_Note0"							"While moving, you can dodge attacks and skills in flight, ballistics and immunity to magic."
		"DOTA_Tooltip_ability_templar_assassin_2_base_damage"					"Base Damage Per Level:"
		"DOTA_Tooltip_ability_templar_assassin_2_damage"						"Agility Factor Per Level:"
		"DOTA_Tooltip_ability_templar_assassin_2_radius"						"Radius:"
		"DOTA_Tooltip_ability_templar_assassin_2_distance"						"Distance:"
		"DOTA_Tooltip_ability_templar_assassin_2_movespeed"						"%Movespeed:"
		"DOTA_Tooltip_ability_templar_assassin_2_duration"						"Duration:"
		"DOTA_Tooltip_ability_templar_assassin_2_aghanim_description"			"Have %scepter_refresh_chance%%% chance refresh charge when cast."
		"DOTA_Tooltip_modifier_templar_assassin_2_buff"							"ShenYin"
		"DOTA_Tooltip_modifier_templar_assassin_2_buff_Description"				"Increase %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% movespeed."
		"DOTA_Tooltip_modifier_templar_assassin_2_debuff"						"ShenYin"
		"DOTA_Tooltip_modifier_templar_assassin_2_debuff_Description"			"Reduce %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% movespeed."
		
		"DOTA_Tooltip_ability_templar_assassin_3"								"LinRen"
		"DOTA_Tooltip_ability_templar_assassin_3_Description"					"The Apocalypse comes with an Apocalypse Blade, which pierces the target to cause additional magic damage to a small area of units and weakens the main target's magic resistance, actively using it to continuously generate aura blades around, causing damage to nearby enemies."
		"DOTA_Tooltip_ability_templar_assassin_3_Lore"							"The Reiki blade can easily pierce the enemy's armor and injure the enemy's soul."
		"DOTA_Tooltip_ability_templar_assassin_3_Note0"							"Units that enter the range within the duration will be affected."
		"DOTA_Tooltip_ability_templar_assassin_3_base_damage"					"Base Damage Per Level:"
		"DOTA_Tooltip_ability_templar_assassin_3_damage"						"Agility Factor Per Level:"
		"DOTA_Tooltip_ability_templar_assassin_3_resistance"					"Reduce Resistance Per Level:"
		"DOTA_Tooltip_ability_templar_assassin_3_duration"						"Debuff Duration:"
		"DOTA_Tooltip_ability_templar_assassin_3_radius"						"LinRen Radius:"
		"DOTA_Tooltip_ability_templar_assassin_3_damage_tick"					"Active Damage Interval:"
		"DOTA_Tooltip_ability_templar_assassin_3_active_radius"					"Active Radius:"
		"DOTA_Tooltip_ability_templar_assassin_3_active_duration"				"Active Duration:"
		"DOTA_Tooltip_ability_templar_assassin_3_delay"							"Active Delay:"
		"DOTA_Tooltip_ability_templar_assassin_3_bonus_attack_range"			"LinRen Bonus Attack Range Per Level:"
		"DOTA_Tooltip_ability_templar_assassin_3_aghanim_description"			"Active Damage stun target %scepter_stun_duration% second."
		"DOTA_Tooltip_modifier_templar_assassin_3_debuff"						"LinRen"
		"DOTA_Tooltip_modifier_templar_assassin_3_debuff_Description"			"Reduce %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%% resistance."
		
		"DOTA_Tooltip_ability_templar_assassin_4"								"TianMu"
		"DOTA_Tooltip_ability_templar_assassin_4_Description"					"Spread the canopy blade around itself, causing all surrounding units to take damage once per %damage_tick% second and reducing movement speed and turn rate。"
		"DOTA_Tooltip_ability_templar_assassin_4_base_damage"					"Base Damage Per Level:"
		"DOTA_Tooltip_ability_templar_assassin_4_damage"						"Agility Factor Per Level:"
		"DOTA_Tooltip_ability_templar_assassin_4_damage_tick"					"Damage Interval:"
		"DOTA_Tooltip_ability_templar_assassin_4_radius"						"Radius:"
		"DOTA_Tooltip_ability_templar_assassin_4_mana_cost_pct"					"%Mana Cost:"
		"DOTA_Tooltip_ability_templar_assassin_4_duration"						"Debuff Duration:"
		"DOTA_Tooltip_ability_templar_assassin_4_aghanim_description"			"Canopy Blade reduces the turning rate to double and has a %scepter_chance% chance to force the enemy to turn."
		"DOTA_Tooltip_modifier_templar_assassin_4_debuff"						"TianMu"
		"DOTA_Tooltip_modifier_templar_assassin_4_debuff_Description"			"Reduce %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% movespeed and %dMODIFIER_PROPERTY_TURN_RATE_PERCENTAGE%%% turn rate."
		
		"DOTA_Tooltip_ability_item_npc_dota_hero_templar_assassin"				"Sunplate"
		"DOTA_Tooltip_ability_item_npc_dota_hero_templar_assassin_Description"	"<h1>Exclusive Equipment</h1> All property, health and mana increase %property%%%\n<h1>First Reincarnation</h1>Automatically generate a layer of shields per %interval% sec.\n<h1>Second Reincarnation</h1>Reduce ShenYin %reduce% seconds recharge time\n<h1>Third  Reincarnation</h1>Prevent damage when using LinRen\n<h1>Fourth Reincarnation</h1>TianMu damage interval reduced to %reduce_interval%\nThe weapons created by RI Yao Shi can provide users with endless energy."

		"DOTA_Tooltip_ability_void_spirit_0"						"太虚守卫"
		"DOTA_Tooltip_ability_void_spirit_0_Description"			"召唤一个镜像守卫一片区域，镜像会自动攻击周围的单位并且会模仿虚无之灵施法，守卫无法移动。"
		"DOTA_Tooltip_ability_void_spirit_0_Lore"					"无玄的存在远超时间和空间中的一个点。"
		"DOTA_Tooltip_ability_void_spirit_0_scepter_description_2"	"所有太虚守卫都会模仿虚无之灵施放太虚之径。"
		"DOTA_Tooltip_ability_void_spirit_0_duration"				"Duration: "
		
		"DOTA_Tooltip_ability_void_spirit_1"						"共鸣脉冲"
